name,frame duration,start frame,end frame,duration (s),start (s),end (s)
none,2,7713,7715,0.07,257.44,257.51
Mother,2,7715,7717,0.07,257.51,257.58
none,29,7717,7746,0.97,257.58,258.54
Mother,1,7746,7747,0.03,258.54,258.58
none,77,7747,7824,2.57,258.58,261.15
Child,1,7824,7825,0.03,261.15,261.18
none,2,7825,7827,0.07,261.18,261.25
Child,3,7827,7830,0.1,261.25,261.35
none,19,7830,7849,0.63,261.35,261.98
Child,1,7849,7850,0.03,261.98,262.02
none,3,7850,7853,0.1,262.02,262.12
Child,1,7853,7854,0.03,262.12,262.15
none,71,7854,7925,2.37,262.15,264.52
Mother,7,7925,7932,0.23,264.52,264.75
none,13,7932,7945,0.43,264.75,265.19
Mother,5,7945,7950,0.17,265.19,265.35
none,1,7950,7951,0.03,265.35,265.39
Mother,3,7951,7954,0.1,265.39,265.49
none,9,7954,7963,0.3,265.49,265.79
Mother,1,7963,7964,0.03,265.79,265.82
none,3,7964,7967,0.1,265.82,265.92
Mother,1,7967,7968,0.03,265.92,265.95
none,19,7968,7987,0.63,265.95,266.59
Mother,34,7987,8021,1.13,266.59,267.72
none,7,8021,8028,0.23,267.72,267.96
Mother,3,8028,8031,0.1,267.96,268.06
none,19,8031,8050,0.63,268.06,268.69
Mother,4,8050,8054,0.13,268.69,268.83
none,1,8054,8055,0.03,268.83,268.86
Mother,9,8055,8064,0.3,268.86,269.16
none,9,8064,8073,0.3,269.16,269.46
Mother,1,8073,8074,0.03,269.46,269.49
none,20,8074,8094,0.67,269.49,270.16
Mother,23,8094,8117,0.77,270.16,270.93
none,7,8117,8124,0.23,270.93,271.16
Mother,1,8124,8125,0.03,271.16,271.19
none,1,8125,8126,0.03,271.19,271.23
Mother,31,8126,8157,1.03,271.23,272.26
none,2,8157,8159,0.07,272.26,272.33
Mother,1,8159,8160,0.03,272.33,272.36
none,27,8160,8187,0.9,272.36,273.26
Mother,1,8187,8188,0.03,273.26,273.3
none,28,8188,8216,0.93,273.3,274.23
Mother,1,8216,8217,0.03,274.23,274.27
none,46,8217,8263,1.54,274.27,275.8
Mother,1,8263,8264,0.03,275.8,275.83
none,67,8264,8331,2.24,275.83,278.07
Mother,1,8331,8332,0.03,278.07,278.1
none,7,8332,8339,0.23,278.1,278.34
Mother,1,8339,8340,0.03,278.34,278.37
none,76,8340,8416,2.54,278.37,280.91
Mother,1,8416,8417,0.03,280.91,280.94
none,2,8417,8419,0.07,280.94,281.01
Mother,2,8419,8421,0.07,281.01,281.07
none,1,8421,8422,0.03,281.07,281.11
Mother,1,8422,8423,0.03,281.11,281.14
none,2,8423,8425,0.07,281.14,281.21
Mother,1,8425,8426,0.03,281.21,281.24
none,1,8426,8427,0.03,281.24,281.28
Mother,2,8427,8429,0.07,281.28,281.34
none,46,8429,8475,1.54,281.34,282.88
Mother,2,8475,8477,0.07,282.88,282.94
none,2,8477,8479,0.07,282.94,283.01
Mother,1,8479,8480,0.03,283.01,283.04
none,93,8480,8573,3.1,283.04,286.15
Mother,2,8573,8575,0.07,286.15,286.21
none,4,8575,8579,0.13,286.21,286.35
Mother,37,8579,8616,1.23,286.35,287.58
none,60,8616,8676,2.0,287.58,289.59
Mother,1,8676,8677,0.03,289.59,289.62
none,4,8677,8681,0.13,289.62,289.75
Mother,16,8681,8697,0.53,289.75,290.29
none,7,8697,8704,0.23,290.29,290.52
Mother,1,8704,8705,0.03,290.52,290.55
none,2,8705,8707,0.07,290.55,290.62
Mother,1,8707,8708,0.03,290.62,290.65
none,9,8708,8717,0.3,290.65,290.95
Mother,1,8717,8718,0.03,290.95,290.99
none,3,8718,8721,0.1,290.99,291.09
Mother,3,8721,8724,0.1,291.09,291.19
none,2,8724,8726,0.07,291.19,291.26
Mother,1,8726,8727,0.03,291.26,291.29
none,2,8727,8729,0.07,291.29,291.36
Mother,2,8729,8731,0.07,291.36,291.42
none,6,8731,8737,0.2,291.42,291.62
Mother,1,8737,8738,0.03,291.62,291.66
none,1,8738,8739,0.03,291.66,291.69
Mother,7,8739,8746,0.23,291.69,291.92
none,19,8746,8765,0.63,291.92,292.56
Child,4,8765,8769,0.13,292.56,292.69
none,11,8769,8780,0.37,292.69,293.06
Child,28,8780,8808,0.93,293.06,293.99
none,2,8808,8810,0.07,293.99,294.06
Child,14,8810,8824,0.47,294.06,294.53
none,3,8824,8827,0.1,294.53,294.63
Child,8,8827,8835,0.27,294.63,294.89
none,32,8835,8867,1.07,294.89,295.96
